x,z,taille
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
1.27907e-09,-5.66366e-08,3.99e-10
-7.65566e-09,-6.98599e-08,3.99e-10
-1.37039e-08,-7.26359e-08,3.99e-10
-1.75575e-08,-4.83231e-08,3.99e-10
9.10287e-09,-1.02567e-08,3.99e-10
2.18726e-08,-6.24535e-08,3.99e-10
-1.71739e-08,-2.47154e-08,3.99e-10
2.17601e-08,-7.95892e-08,3.99e-10
3.32178e-08,-7.04128e-08,3.99e-10
1.5123e-08,-1.22863e-08,3.99e-10
1.10721e-08,-2.3313e-08,3.99e-10
-7.11054e-09,-1.49404e-08,3.99e-10
-1.90203e-09,-3.91848e-08,3.99e-10
1.82926e-08,-5.86593e-08,3.99e-10
3.92098e-09,-7.02992e-08,3.99e-10
1.18895e-08,-3.18861e-08,3.99e-10
1.82172e-08,-3.51092e-08,3.99e-10
3.06428e-08,-6.95373e-08,3.99e-10
3.60382e-08,-2.51314e-08,3.99e-10
-3.25235e-08,-6.18071e-08,3.99e-10
-2.11752e-08,-4.18065e-08,3.99e-10
1.23161e-08,-4.17614e-08,3.99e-10
-2.78436e-08,-4.22278e-08,3.99e-10
2.08104e-08,-1.81174e-08,3.99e-10
-3.55817e-08,-6.92772e-08,3.99e-10
-4.12966e-09,-5.17938e-08,3.99e-10
3.19597e-08,-4.90439e-08,3.99e-10
3.09415e-08,-9.88708e-09,3.99e-10
9.66569e-09,-4.15134e-08,3.99e-10
1.68457e-08,-6.49738e-08,3.99e-10
-1.90119e-08,-2.75463e-08,3.99e-10
3.70124e-08,-6.48526e-08,3.99e-10
1.85107e-08,-3.11634e-08,3.99e-10
3.94586e-08,-1.71251e-08,3.99e-10
-4.55891e-09,-1.72347e-08,3.99e-10
3.6846e-09,-1.16534e-08,3.99e-10
-2.05678e-08,-2.03608e-08,3.99e-10
1.81513e-08,-3.35039e-08,3.99e-10
-2.35548e-08,-5.40216e-08,3.99e-10
-3.18544e-08,-7.0102e-08,3.99e-10
-1.79689e-08,-5.83861e-08,3.99e-10
9.10071e-09,-6.47695e-08,3.99e-10
-7.46922e-09,-3.1035e-08,3.99e-10
1.67411e-09,-2.1451e-08,3.99e-10
-3.85117e-08,-1.12408e-08,3.99e-10
1.43973e-09,-3.56745e-08,3.99e-10
2.45536e-08,-2.61032e-08,3.99e-10
1.15692e-08,-7.74933e-08,3.99e-10
2.9656e-08,-1.43627e-08,3.99e-10
-3.57446e-09,-6.93256e-08,3.99e-10
-9.3974e-09,-5.03999e-08,3.99e-10
-3.02858e-08,-3.05371e-08,3.99e-10
3.59664e-08,-1.02467e-08,3.99e-10
-2.42214e-08,-7.84836e-08,3.99e-10
5.55541e-11,-4.25553e-08,3.99e-10
