vx,vz
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
91.7511,44.203
182.972,9.89915
-70.7094,118.315
30.3374,-76.1918
1.6885,47.224
-88.0162,240.041
255.992,-126.04
-25.8028,534.542
-24.627,-141.053
-10.4059,59.1048
104.409,-63.5629
46.961,-63.2831
-24.1512,-105.723
35.8374,74.9366
202.446,-264.85
-58.4377,42.8748
276.469,99.0524
-150.357,87.7926
115.721,234.855
39.8493,-202.461
-405.13,266.406
-335.209,74.698
50.2466,-130.262
-50.2463,-158.595
31.181,82.4375
136.943,125.717
-129.523,-271.066
73.5926,316.051
-166.637,46.7948
79.1398,254.658
25.7799,6.79883
-131.634,39.7807
134.258,-36.8293
-84.0362,26.4147
-42.5431,-117.822
113.311,-226.353
-149.918,-121.477
-314.624,19.1187
-100.582,82.076
-177.507,117.991
-86.8044,119.921
-157.115,-102.12
-321.341,-12.96
136.312,-136.51
-144.155,12.9101
186.587,-365.015
-152.756,37.6183
22.6022,-1.7085
25.831,172.213
43.2639,141.013
62.5168,98.0179
55.3306,-336.726
37.9368,-170.618
88.2232,165.499
282.285,198.136
90.2253,-43.1347
60.8375,9.7423
162.136,-68.1383
161.77,192.193
-119.949,280.922
-62.5453,70.6629
54.6887,-62.9232
104.631,114.078
43.9335,49.8419
-95.6159,26.7979
39.1239,143.463
-29.5129,-146.033
-185.294,251.926
97.1683,-52.6324
102.225,-6.4284
-69.9371,-47.0806
295.539,-68.176
67.6934,3.61303
-85.1703,-174.554
59.5528,-41.5739
-27.3576,-210.386
-108.833,255.285
116.947,-210.466
92.2906,-54.2409
-79.4723,-105.06
185.442,-23.7846
11.3724,-219.59
-78.9937,271.694
228.506,-50.6857
35.5353,-325.522
33.0087,-68.7903
-128.361,213.394
-67.7485,-292.348
128.243,-9.48798
121.176,152.262
43.407,211.783
-119.648,123.353
-55.4872,26.706
-569.028,-129.96
-69.6057,-133.16
-123.794,50.3867
89.2709,49.3666
-0.32301,42.7923
-140.384,126.893
316.2,94.9849
197.242,16.0321
-33.8601,-115.514
58.4326,166.942
-83.7748,-0.887665
215.457,149.82
-54.0781,107.817
39.773,97.0595
131.432,72.6836
-68.9794,-8.86004
49.0308,-229.775
-209.851,118.312
59.3282,248.963
-53.0062,-2.44247
-47.4621,62.0587
38.6686,48.8745
30.5522,-3.98354
102.792,34.8375
260.008,96.5056
-101.086,-53.951
241.803,-12.2647
