x,z,taille
# Ensemble de particules : N = 1000 | d = 0.1 | E_0 = 1 | taille = 0
-20.55,-45.45,0
-22.25,-37.05,0
20.75,-39.35,0
8.75,-49.65,0
-10.95,-34.95,0
-3.55,-37.95,0
-1.45,-30.85,0
14.55,-48.65,0
-18.75,-32.85,0
3.35,-35.55,0
-14.55,-44.05,0
13.35,-28.45,0
11.25,-48.25,0
5.95,-33.55,0
11.85,-37.85,0
-17.25,-28.65,0
9.15,-39.85,0
-3.05,-42.05,0
-13.85,-46.95,0
-3.35,-27.55,0
-11.55,-44.65,0
-24.35,-31.45,0
16.45,-43.65,0
19.75,-32.85,0
15.95,-42.95,0
-18.25,-27.75,0
-11.35,-41.55,0
10.85,-26.25,0
21.55,-34.25,0
-16.75,-25.35,0
-18.45,-26.95,0
-16.65,-41.05,0
-14.25,-32.55,0
13.05,-31.35,0
4.25,-34.35,0
-3.75,-46.85,0
-15.35,-41.25,0
17.35,-49.45,0
-5.15,-48.55,0
-10.65,-30.35,0
24.95,-35.95,0
7.05,-38.75,0
-16.35,-38.95,0
-10.75,-42.75,0
17.45,-25.25,0
-22.25,-42.05,0
18.25,-36.65,0
-24.95,-34.15,0
-13.95,-32.05,0
7.55,-25.45,0
14.05,-37.45,0
7.75,-32.75,0
-9.95,-38.45,0
-11.55,-36.05,0
-5.15,-25.85,0
-15.35,-36.95,0
15.65,-48.05,0
-18.95,-49.95,0
6.15,-27.45,0
-22.65,-46.55,0
2.85,-34.05,0
-12.45,-40.25,0
14.85,-31.65,0
20.05,-28.65,0
13.25,-45.45,0
-17.95,-46.05,0
1.15,-25.25,0
-22.35,-42.55,0
-11.45,-25.75,0
9.55,-44.05,0
1.75,-46.15,0
12.45,-26.65,0
-22.05,-38.55,0
13.35,-41.55,0
19.15,-43.35,0
-21.85,-36.35,0
-22.55,-47.65,0
-0.75,-35.95,0
-8.15,-39.35,0
-1.75,-33.35,0
3.55,-43.95,0
15.65,-35.55,0
-5.25,-25.55,0
-15.85,-42.45,0
2.65,-42.25,0
-23.85,-34.25,0
-5.25,-29.55,0
-0.15,-41.75,0
