x,z,taille
# Ensemble de particules : N = 100 | d = 0.1 | E_0 = 1 | taille = 0
-19.35,-35.85,0
23.95,-39.15,0
-17.55,-31.95,0
20.25,-45.45,0
-13.35,-41.35,0
17.85,-39.35,0
18.05,-39.55,0
-21.65,-41.95,0
-8.45,-33.05,0
-9.75,-29.55,0
5.25,-27.95,0
23.55,-34.75,0
17.55,-42.65,0
-22.95,-25.95,0
22.65,-35.15,0
-21.85,-27.55,0
24.75,-32.25,0
8.75,-38.15,0
15.05,-34.35,0
-23.75,-30.95,0
-11.65,-27.35,0
-10.25,-31.55,0
18.55,-27.65,0
6.65,-26.95,0
-19.95,-40.95,0
5.65,-30.95,0
13.15,-31.75,0
-3.85,-27.85,0
23.85,-36.75,0
-6.05,-45.75,0
-6.05,-29.95,0
-10.95,-48.55,0
-20.35,-25.85,0
20.65,-47.05,0
16.75,-26.25,0
-0.35,-41.55,0
16.25,-44.85,0
4.55,-32.75,0
23.65,-26.15,0
0.25,-43.45,0
-23.25,-46.75,0
15.05,-32.25,0
13.45,-42.25,0
7.35,-38.85,0
13.55,-35.65,0
-24.55,-43.45,0
-11.75,-42.65,0
-6.45,-39.75,0
-1.25,-26.85,0
-23.05,-39.25,0
21.35,-27.35,0
-16.55,-45.15,0
-19.25,-32.35,0
6.55,-32.25,0
-17.15,-46.25,0
-23.05,-40.45,0
2.65,-28.95,0
21.75,-42.25,0
-24.75,-26.25,0
24.55,-30.95,0
-2.05,-48.75,0
18.75,-35.75,0
-9.35,-26.75,0
-7.85,-35.45,0
21.85,-48.95,0
8.25,-25.75,0
-1.35,-31.55,0
-21.05,-41.65,0
17.05,-26.55,0
18.85,-39.65,0
-9.15,-28.45,0
7.85,-47.95,0
-16.85,-38.05,0
-10.85,-36.05,0
-1.05,-43.15,0
6.85,-36.95,0
21.25,-31.35,0
-3.45,-30.05,0
16.85,-26.25,0
11.55,-40.05,0
19.05,-30.65,0
8.65,-40.55,0
-3.05,-25.35,0
13.15,-28.65,0
24.15,-38.85,0
-1.45,-37.95,0
12.65,-31.55,0
-11.95,-27.05,0
-24.65,-48.25,0
-6.95,-47.55,0
2.35,-45.05,0
21.25,-48.25,0
-20.55,-45.25,0
-19.05,-45.45,0
23.25,-48.55,0
-0.45,-32.55,0
13.85,-34.85,0
-5.95,-35.05,0
-0.65,-32.75,0
2.25,-28.25,0


