x,z,taille
-24.5,-27.5,1
-24.5,-25.5,1
-23.5,-42.5,1
-22.5,-49.5,1
-22.5,-48.5,1
-22.5,-47.5,1
-22.5,-30.5,1
-22.5,-27.5,1
-22.5,-26.5,1
-21.5,-47.5,1
-21.5,-32.5,1
-21.5,-28.5,1
-20.5,-36.5,1
-20.5,-30.5,1
-19.5,-45.5,1
-18.5,-48.5,1
-18.5,-35.5,1
-18.5,-32.5,1
-18.5,-30.5,1
-17.5,-37.5,1
-16.5,-25.5,1
-14.5,-49.5,1
-14.5,-43.5,1
-14.5,-35.5,1
-13.5,-45.5,1
-13.5,-42.5,1
-13.5,-31.5,1
-12.5,-42.5,1
-11.5,-41.5,1
-11.5,-32.5,1
-9.5,-44.5,1
-9.5,-43.5,1
-9.5,-41.5,1
-9.5,-39.5,1
-8.5,-38.5,1
-8.5,-36.5,1
-8.5,-33.5,1
-7.5,-45.5,1
-6.5,-41.5,1
-6.5,-34.5,1
-5.5,-35.5,1
-5.5,-31.5,1
-4.5,-29.5,1
-3.5,-47.5,1
-3.5,-45.5,1
-3.5,-33.5,1
-2.5,-34.5,1
-1.5,-42.5,1
-1.5,-41.5,1
-1.5,-40.5,1
-0.5,-48.5,1
-0.5,-39.5,1
-0.5,-35.5,1
-0.5,-28.5,1
1.5,-43.5,1
1.5,-37.5,1
1.5,-35.5,1
2.5,-39.5,1
2.5,-32.5,1
2.5,-31.5,1
3.5,-43.5,1
4.5,-47.5,1
4.5,-46.5,1
4.5,-30.5,1
5.5,-36.5,1
5.5,-34.5,1
5.5,-29.5,1
5.5,-26.5,1
6.5,-48.5,1
6.5,-39.5,1
6.5,-32.5,1
6.5,-27.5,1
8.5,-42.5,1
9.5,-47.5,1
10.5,-29.5,1
10.5,-25.5,1
11.5,-38.5,1
11.5,-27.5,1
12.5,-43.5,1
12.5,-26.5,1
13.5,-49.5,1
13.5,-36.5,1
14.5,-38.5,1
14.5,-37.5,1
14.5,-31.5,1
15.5,-32.5,1
15.5,-25.5,1
16.5,-29.5,1
17.5,-35.5,1
17.5,-29.5,1
18.5,-44.5,1
20.5,-44.5,1
21.5,-44.5,1
21.5,-40.5,1
21.5,-29.5,1
22.5,-45.5,1
24.5,-48.5,1
24.5,-42.5,1
24.5,-34.5,1
24.5,-31.5,1
-18,-18,9
-20.25,-11.25,4.5
-17.7891,-13.0078,0.140625
-17.1562,-13.2188,0.5625
-17.1562,-12.6562,0.5625
-16.3828,-13.1484,0.140625
-16.6641,-12.5859,0.140625
-17.9297,-12.0234,0.140625
-17.6484,-11.8828,0.140625
-17.1562,-12.0938,0.5625
-17.0859,-11.7422,0.140625
-16.5938,-12.0938,0.5625
-15.8203,-12.0234,0.140625
-16.5234,-11.4609,0.140625
-16.0312,-11.5312,0.5625
-15.1875,-12.9375,1.125
-14.5547,-13.4297,0.140625
-14.2734,-13.1484,0.140625
-14.2734,-13.0078,0.140625
-13.7812,-13.2188,0.5625
-15.4688,-12.0938,0.5625
-14.6953,-11.8828,0.140625
-14.0625,-11.8125,1.125
-17.4375,-10.6875,1.125
-15.9609,-11.0391,0.140625
-16.2422,-10.1953,0.140625
-17.4375,-9.5625,1.125
-16.3125,-9.5625,1.125
-14.9062,-10.9688,0.5625
-14.0625,-10.6875,1.125
-15.1875,-9.5625,1.125
-14.0625,-9.5625,1.125
-20.25,-6.75,4.5
-15.75,-6.75,4.5
-20.25,-2.25,4.5
-17.4375,-3.9375,1.125
-16.5938,-4.21875,0.5625
-16.3828,-3.86719,0.140625
-16.5234,-3.44531,0.140625
-16.0312,-3.65625,0.5625
-17.7188,-3.09375,0.5625
-17.1562,-3.09375,0.5625
-17.7188,-2.53125,0.5625
-16.5234,-2.32031,0.140625
-16.0312,-2.53125,0.5625
-15.5391,-4.28906,0.140625
-14.9062,-4.21875,0.5625
-14.9766,-3.44531,0.140625
-14.0625,-3.9375,1.125
-14.9062,-3.09375,0.5625
-15.5391,-2.60156,0.140625
-15.2578,-2.74219,0.140625
-15.1172,-2.60156,0.140625
-14.0625,-2.8125,1.125
-17.1562,-1.96875,0.5625
-17.7891,-1.61719,0.140625
-17.2266,-1.19531,0.140625
-16.0312,-1.96875,0.5625
-16.5938,-1.40625,0.5625
-16.0312,-1.40625,0.5625
-17.4375,-0.5625,1.125
-16.1016,-0.914062,0.140625
-16.1016,-0.632812,0.140625
-16.0312,-0.28125,0.5625
-15.3984,-1.75781,0.140625
-14.9062,-1.96875,0.5625
-15.4688,-1.40625,0.5625
-14.9766,-1.47656,0.140625
-13.7109,-2.17969,0.140625
-14.3438,-1.40625,0.5625
-13.8516,-1.47656,0.140625
-13.7109,-1.47656,0.140625
-13.5703,-1.33594,0.140625
-14.8359,-1.05469,0.140625
-15.4688,-0.28125,0.5625
-14.9766,-0.210938,0.140625
-13.9922,-0.914062,0.140625
-13.7109,-1.05469,0.140625
-14.5547,-0.351562,0.140625
-14.5547,-0.210938,0.140625
-13.5703,-0.210938,0.140625
-21.9375,0.5625,1.125
-21.0938,0.28125,0.5625
-20.5312,0.28125,0.5625
-21.3047,1.05469,0.140625
-21.0234,0.914062,0.140625
-21.9375,1.6875,1.125
-20.8828,1.47656,0.140625
-20.5312,1.96875,0.5625
-20.1797,0.351562,0.140625
-19.7578,0.632812,0.140625
-19.6172,0.773438,0.140625
-18.5625,0.5625,1.125
-19.6875,1.6875,1.125
-18.2109,1.61719,0.140625
-18.4922,2.03906,0.140625
-22.0078,2.46094,0.140625
-21.6562,2.53125,0.5625
-20.8125,2.8125,1.125
-22.1484,3.58594,0.140625
-20.8125,3.9375,1.125
-19.9688,2.53125,0.5625
-19.4062,2.53125,0.5625
-18.5625,2.8125,1.125
-19.6875,3.9375,1.125
-18.8438,4.21875,0.5625
-18.3516,4.14844,0.140625
-17.1562,0.28125,0.5625
-17.5078,0.914062,0.140625
-17.3672,0.773438,0.140625
-16.5938,0.28125,0.5625
-15.8203,0.0703125,0.140625
-15.8203,0.914062,0.140625
-17.4375,1.6875,1.125
-16.3125,1.6875,1.125
-15.4688,0.28125,0.5625
-14.9062,0.28125,0.5625
-15.6797,0.632812,0.140625
-14.0625,0.5625,1.125
-14.8359,1.47656,0.140625
-15.5391,1.75781,0.140625
-15.3984,1.89844,0.140625
-14.8359,1.89844,0.140625
-14.1328,1.19531,0.140625
-13.5703,1.19531,0.140625
-13.5703,1.33594,0.140625
-13.9922,1.47656,0.140625
-13.8516,1.47656,0.140625
-13.9922,1.61719,0.140625
-17.9297,3.02344,0.140625
-17.1562,3.09375,0.5625
-16.3125,2.8125,1.125
-17.4375,3.9375,1.125
