x,z,taille
# Ensemble de particules : N = 1000 | d = 0.1 | E_0 = 1 | taille = 0 | masse = 10
-3.65,-30.55,0
15.05,-46.65,0
-1.95,-48.75,0
15.75,-47.25,0
0.65,-26.65,0
21.65,-41.25,0
-6.25,-35.75,0
5.65,-48.15,0
-1.75,-40.55,0
-5.35,-37.25,0
-17.85,-32.15,0
10.35,-28.35,0
17.75,-38.45,0
18.25,-35.45,0
-14.75,-35.85,0
-23.75,-31.95,0
-8.25,-30.85,0
-19.85,-40.75,0
-9.25,-40.85,0
-8.55,-49.25,0
-14.05,-31.15,0
17.05,-46.55,0
18.95,-46.25,0
16.65,-42.75,0
9.55,-31.65,0
-17.45,-45.95,0
-0.55,-35.45,0
13.35,-30.15,0
20.65,-35.15,0
-21.05,-27.45,0
0.15,-29.95,0
14.75,-43.05,0
-4.55,-30.05,0
5.05,-47.25,0
-6.55,-48.85,0
-7.95,-26.95,0
15.95,-43.95,0
-22.85,-27.75,0
11.65,-33.25,0
-24.45,-36.65,0
12.25,-26.05,0
-9.55,-45.85,0
-5.05,-49.05,0
19.55,-45.95,0
-11.85,-43.05,0
11.55,-32.05,0
3.45,-47.35,0
11.65,-29.45,0
-16.25,-31.95,0
21.65,-49.25,0
12.95,-48.75,0
13.65,-29.25,0
7.95,-33.45,0
0.55,-35.95,0
-20.05,-36.45,0
4.45,-31.95,0
-16.95,-25.75,0
-15.65,-34.35,0
-4.85,-29.95,0
7.15,-47.55,0
19.45,-30.25,0
20.45,-34.35,0
20.15,-40.75,0
-15.25,-47.85,0
12.45,-40.55,0
23.45,-28.45,0
-5.15,-33.15,0
3.45,-40.15,0
5.25,-45.55,0
17.45,-43.05,0
18.35,-37.15,0
-5.45,-49.65,0
-7.05,-45.15,0
-19.65,-39.65,0
-17.65,-37.65,0
0.15,-31.45,0
17.15,-32.95,0
0.55,-47.95,0
-7.65,-47.55,0
14.35,-37.65,0
3.45,-48.85,0
12.65,-36.65,0
-2.55,-46.15,0
13.55,-47.55,0
16.05,-28.25,0
11.85,-49.15,0
-5.35,-35.75,0
11.05,-32.25,0
-2.15,-49.55,0
4.75,-34.55,0
-7.25,-31.85,0
13.45,-27.05,0
24.65,-25.65,0
8.65,-41.65,0
-2.55,-29.45,0
-4.05,-40.25,0
6.85,-36.35,0
-10.25,-47.25,0
-14.05,-38.75,0
-8.05,-39.65,0
-0.25,-35.45,0
10.35,-29.75,0
-0.05,-34.25,0
4.75,-28.85,0
-11.55,-46.85,0
20.85,-35.15,0
-3.55,-37.45,0
24.05,-46.35,0
8.95,-37.75,0
-11.25,-25.75,0
-8.05,-48.65,0
-13.65,-47.15,0
-16.55,-26.85,0
24.85,-42.45,0
-3.05,-36.75,0
2.35,-46.05,0
14.45,-43.35,0
-0.75,-46.05,0
4.25,-47.65,0
5.45,-35.45,0
-7.75,-37.45,0
1.35,-35.35,0
3.45,-48.05,0
-1.05,-41.55,0
15.95,-46.95,0
19.45,-49.95,0
2.15,-29.95,0
5.15,-34.05,0
8.55,-26.05,0
-19.65,-35.25,0
2.75,-47.25,0
-24.85,-44.95,0
18.35,-27.65,0
24.85,-40.65,0
24.85,-26.45,0
-23.75,-28.85,0
-15.75,-38.65,0
-15.15,-34.15,0
15.35,-43.15,0
-21.45,-49.15,0
-16.15,-28.55,0
-8.05,-39.15,0
11.85,-36.65,0
-21.25,-40.45,0
9.05,-35.05,0
22.55,-29.35,0
16.55,-49.75,0
-12.75,-42.05,0
8.35,-26.85,0
-8.85,-34.55,0
8.65,-37.55,0
1.45,-48.25,0
24.45,-42.35,0
-7.55,-35.55,0
4.25,-30.85,0
22.35,-33.85,0
4.05,-36.45,0
-5.85,-28.15,0
-11.05,-45.75,0
2.35,-35.05,0
3.95,-45.65,0
14.45,-45.95,0
-11.05,-32.25,0
