vx,vz
# Ensemble de particules : N = 1000 | d = 0.1 | E_0 = 1 | taille = 0 | masse = 10
-4.79911e-12,5.84605e-11
1.94517e-11,-2.37059e-11
4.35612e-11,-4.27582e-11
5.30264e-11,5.83639e-12
-1.961e-11,1.30033e-11
-5.29027e-12,-2.54947e-12
3.36668e-12,1.1457e-11
-5.57101e-12,1.90503e-11
3.92363e-12,-5.77498e-12
-1.29711e-11,4.99441e-13
1.98523e-11,1.30179e-11
-2.58987e-11,1.96797e-11
3.54106e-12,-1.99611e-11
-1.06594e-11,-3.59161e-12
4.80085e-11,-3.39841e-12
-3.49857e-11,-1.68795e-11
-3.00094e-13,-4.19047e-12
-4.41351e-11,2.2385e-11
-3.26689e-11,-1.73839e-12
-1.31808e-11,4.31514e-12
1.35763e-11,-2.60502e-11
-2.34739e-11,-9.44128e-12
-6.21464e-12,1.27494e-11
-8.14906e-12,5.31557e-12
-2.73969e-11,1.14251e-12
-7.04456e-12,6.59033e-12
2.53828e-11,6.42135e-12
1.05414e-11,-1.68454e-11
4.73468e-12,-7.75864e-12
2.6527e-11,2.14094e-11
-7.09298e-12,3.78927e-12
-2.93959e-11,1.39045e-11
7.3537e-12,-1.8214e-11
-8.17751e-12,7.93901e-12
-2.7976e-11,-2.91401e-11
5.33212e-13,-2.54261e-11
2.22646e-11,2.21558e-11
3.61971e-11,-1.77845e-11
5.92892e-12,3.67614e-11
1.93557e-11,7.77527e-12
-5.17932e-11,-2.0715e-11
5.5415e-13,-1.94324e-11
3.76553e-11,-4.82123e-12
-1.3695e-11,-2.33232e-11
2.17594e-11,1.05486e-12
-2.95599e-11,-2.87645e-11
5.1971e-12,8.98295e-12
-1.69995e-11,-4.01544e-11
1.98163e-11,1.51337e-11
8.85776e-12,-1.53365e-11
-1.02999e-11,-3.70057e-11
2.75516e-12,-3.18959e-11
-2.37423e-11,-7.48925e-12
-7.32017e-12,3.11402e-11
1.79115e-11,-9.23601e-12
2.9249e-11,1.38428e-11
-1.25873e-11,4.18418e-11
-5.45676e-12,3.27805e-11
5.60234e-11,-2.28205e-11
-8.17222e-12,-5.91599e-12
-8.64366e-13,3.59884e-12
-1.35884e-11,-8.12506e-12
2.66162e-11,1.11297e-11
-1.77157e-12,-2.93525e-12
-2.29205e-11,5.07202e-12
4.03554e-11,-1.90718e-12
-1.5749e-11,-2.38498e-11
-1.62001e-11,1.91721e-12
2.13729e-11,-2.33183e-12
-3.59626e-11,3.67479e-11
-1.57824e-11,-1.61743e-11
5.76016e-13,-4.49532e-12
2.5572e-11,-4.43595e-12
1.8026e-11,-4.80574e-12
-5.40871e-12,-7.96507e-12
3.33524e-12,-6.09271e-12
4.18064e-11,-2.12884e-11
1.01286e-11,-5.33283e-11
-3.98699e-11,-1.16193e-11
4.85843e-11,1.5583e-11
2.56663e-12,1.97173e-12
9.24754e-12,-3.43524e-11
-6.20661e-12,1.17025e-11
-1.61935e-11,3.12901e-11
3.5918e-15,1.13664e-11
8.85961e-12,-5.09161e-12
-1.90772e-11,-5.6216e-12
2.46453e-11,6.68334e-12
-3.81232e-11,-1.63967e-11
-1.1829e-11,2.45749e-11
-1.26717e-11,-1.33457e-11
2.17575e-11,-3.05438e-12
9.98512e-12,-7.50586e-13
3.39672e-11,2.15808e-11
2.69496e-11,-9.49157e-12
-2.84693e-11,1.81048e-11
5.27561e-12,7.80811e-12
-2.45926e-11,1.23734e-11
-9.19012e-12,1.7859e-11
2.8213e-11,-1.65522e-11
-4.39069e-12,-2.11836e-11
-2.91597e-11,-1.18664e-11
-8.12794e-12,1.2545e-11
3.16521e-11,2.45131e-11
5.02523e-12,1.40826e-11
-1.77437e-11,-1.11121e-11
1.48023e-11,5.72969e-12
2.65322e-11,-5.049e-12
1.78458e-11,-3.18184e-11
5.97003e-11,3.40386e-12
-1.48921e-11,1.20756e-11
3.92809e-11,-1.53379e-11
1.70356e-11,-3.9587e-11
2.35084e-11,-8.91043e-13
